,Posting Date,Order No.,Item,Quantity,Department,Time,Direct Cost,Overhead Cost,Departement Code,Sales Order,DC/Time,OC/Time,DC/Quantity,OC/Quantity,Labor Costs,Total Cost
18,1/30/2023,POR-11042497,Sofa,3.4,Upholstery,50.0,230.01,289.99,PRODUCTION,SSO-12142594,4.6002,5.7998,67.65,85.29117647058824,14.705882352941178,520.0
19,1/30/2023,POR-11042497,Sofa,3.4,Painting,11.96,32.61,48.26,PRODUCTION,SSO-12142594,2.7265886287625416,4.035117056856187,9.591176470588236,14.194117647058823,3.51764705882353,80.87
20,1/30/2023,POR-11042498,Sofa,3.4,Upholstery,50.0,230.01,289.99,PRODUCTION,SSO-12142594,4.6002,5.7998,67.65,85.29117647058824,14.705882352941178,520.0
21,1/30/2023,POR-11042498,Sofa,3.4,Painting,11.96,32.61,48.26,PRODUCTION,SSO-12142594,2.7265886287625416,4.035117056856187,9.591176470588236,14.194117647058823,3.51764705882353,80.87
24,1/30/2023,POR-11042527,Sofa,4.5,Upholstery,70.0,1610.08,2029.92,PRODUCTION,PROD-UPHOLSTERY-0002,23.001142857142856,28.998857142857144,357.79555555555555,451.09333333333336,15.555555555555555,3640.0
25,1/30/2023,POR-11042528,Arm chair,2.0,Upholstery,28.0,644.03,811.97,PRODUCTION,SSO-12141205,23.00107142857143,28.99892857142857,322.015,405.985,14.0,1456.0
27,1/30/2023,POR-11042710,Sofa,3.0,Upholstery,25.0,575.03,724.97,PRODUCTION,PROD-UPHOLSTERY-0001,23.001199999999997,28.998800000000003,191.67666666666665,241.65666666666667,8.333333333333334,1300.0
28,1/30/2023,POR-11042710,Sofa,3.0,Assembly,15.0,375.0,555.0,PRODUCTION,PROD-CARPENTRY-0004,25.0,37.0,125.0,185.0,5.0,930.0
29,1/30/2023,POR-11042711,Sofa,3.0,Upholstery,20.0,460.02,579.98,PRODUCTION,SSO-12144227,23.000999999999998,28.999000000000002,153.34,193.32666666666668,6.666666666666667,1040.0
30,1/30/2023,POR-11042712,Sofa,3.0,Upholstery,20.0,460.02,579.98,PRODUCTION,SSO-12144227,23.000999999999998,28.999000000000002,153.34,193.32666666666668,6.666666666666667,1040.0
31,1/30/2023,POR-11042713,Sofa,3.0,Upholstery,20.0,460.02,579.98,PRODUCTION,SSO-12144227,23.000999999999998,28.999000000000002,153.34,193.32666666666668,6.666666666666667,1040.0
32,1/30/2023,POR-11042714,Sofa,4.8,Upholstery,25.0,575.03,724.97,PRODUCTION,SSO-12144227,23.001199999999997,28.998800000000003,119.79791666666667,151.0354166666667,5.208333333333334,1300.0
33,1/30/2023,POR-11042726,Arm chair,5.0,Upholstery,70.0,1610.08,2029.92,PRODUCTION,SSO-12143613,23.001142857142856,28.998857142857144,322.01599999999996,405.98400000000004,14.0,3640.0
34,1/30/2023,POR-11042727,Console,1.0,Painting,20.0,500.0,740.0,PRODUCTION,SSO-12143613,25.0,37.0,500.0,740.0,20.0,1240.0
36,1/30/2023,POR-11042765,Sofa,4.8,Upholstery,45.0,1035.05,1304.95,PRODUCTION,SSO-12144251,23.00111111111111,28.99888888888889,215.63541666666666,271.86458333333337,9.375,2340.0
38,1/30/2023,POR-11042839,Sofa,8.0,Upholstery,120.0,2760.14,3479.86,PRODUCTION,SSO-12142691,23.001166666666666,28.998833333333334,345.0175,434.9825,15.0,6240.0
39,1/30/2023,POR-11042889,Arm chair,2.0,Upholstery,45.0,92.0,116.0,PRODUCTION,SSO-12149275,2.0444444444444443,2.577777777777778,46.0,58.0,22.5,208.0
41,1/30/2023,POR-11042890,Rectangular Center Table,1.0,Assembly,25.0,625.0,925.0,PRODUCTION,SSO-12149275,25.0,37.0,625.0,925.0,25.0,1550.0
42,1/30/2023,POR-11042893,Round side table,3.0,Painting,50.0,1250.0,1850.0,PRODUCTION,SSO-12149275,25.0,37.0,416.6666666666667,616.6666666666666,16.666666666666668,3100.0
43,1/30/2023,POR-11042896,Sofa,3.0,Painting,7.17,32.61,48.26,PRODUCTION,SSO-12146685,4.548117154811716,6.730822873082287,10.87,16.086666666666666,2.39,80.87
45,1/30/2023,POR-11042897,Sofa,3.0,Upholstery,50.0,230.01,289.99,PRODUCTION,SSO-12146685,4.6002,5.7998,76.67,96.66333333333334,16.666666666666668,520.0
46,1/30/2023,POR-11042897,Sofa,3.0,Painting,7.17,32.61,48.26,PRODUCTION,SSO-12146685,4.548117154811716,6.730822873082287,10.87,16.086666666666666,2.39,80.87
47,1/30/2023,POR-11043104,Sofa,15.75,Upholstery,235.0,5405.28,6814.72,PRODUCTION,SSO-12123384,23.0011914893617,28.9988085106383,343.1923809523809,432.68063492063493,14.920634920634921,12220.0
48,1/31/2023,POR-11039303,Arm chair,4.0,Upholstery,56.0,1288.07,1623.93,PRODUCTION,SSO-12118875,23.00125,28.99875,322.0175,405.9825,14.0,2912.0
49,1/31/2023,POR-11039348,Sofa,4.36,Painting,10.0,250.0,370.0,PRODUCTION,PROD-PAINTING-0002,25.0,37.0,57.3394495412844,84.86238532110092,2.293577981651376,620.0
50,1/31/2023,POR-11039901,Arm chair,2.0,Painting,10.0,250.0,370.0,PRODUCTION,SSO-12119453,25.0,37.0,125.0,185.0,5.0,620.0
52,1/31/2023,POR-11041752,Cladding ,12.5,machine,0.58,30.74,21.46,PRODUCTION,SSO-12122598,53.0,37.00000000000001,2.4592,1.7168,0.0464,52.2
53,1/31/2023,POR-11041752,Cladding ,12.5,Veneer,6.0,150.0,222.0,PRODUCTION,SSO-12122598,25.0,37.0,12.0,17.76,0.48,372.0
54,1/31/2023,POR-11041752,Cladding ,12.5,Assembly,30.0,750.0,1110.0,PRODUCTION,SSO-12122598,25.0,37.0,60.0,88.8,2.4,1860.0
55,1/31/2023,POR-11041789,Round side table,1.0,Painting,10.0,250.0,370.0,PRODUCTION,SSO-12136516,25.0,37.0,250.0,370.0,10.0,620.0
56,1/31/2023,POR-11041791,Arm chair,4.0,Painting,24.0,600.0,888.0,PRODUCTION,SSO-12136516,25.0,37.0,150.0,222.0,6.0,1488.0
57,1/31/2023,POR-11041791,Arm chair,4.0,machine,0.5,30.0,18.5,PRODUCTION,SSO-12136516,60.0,37.0,7.5,4.625,0.125,48.5
58,1/31/2023,POR-11041791,Arm chair,4.0,Assembly,60.0,1500.0,2220.0,PRODUCTION,SSO-12136516,25.0,37.0,375.0,555.0,15.0,3720.0
59,1/31/2023,POR-11041797,Sofa,3.0,machine,0.83,43.99,30.71,PRODUCTION,SSO-12136516,53.00000000000001,37.0,14.663333333333334,10.236666666666666,0.27666666666666667,74.7
60,1/31/2023,POR-11041797,Sofa,3.0,Assembly,30.0,750.0,1110.0,PRODUCTION,SSO-12136516,25.0,37.0,250.0,370.0,10.0,1860.0
61,1/31/2023,POR-11041798,Sofa,1.0,machine,0.58,30.74,21.46,PRODUCTION,SSO-12136516,53.0,37.00000000000001,30.74,21.46,0.58,52.2
62,1/31/2023,POR-11041798,Sofa,1.0,Assembly,25.0,625.0,925.0,PRODUCTION,SSO-12136516,25.0,37.0,625.0,925.0,25.0,1550.0
63,1/31/2023,POR-11041802,Arm chair,5.0,Painting,30.0,750.0,1110.0,PRODUCTION,SSO-12136516,25.0,37.0,150.0,222.0,6.0,1860.0
64,1/31/2023,POR-11041802,Arm chair,5.0,machine,1.16,34.8,21.46,PRODUCTION,SSO-12136516,30.0,18.500000000000004,6.959999999999999,4.292,0.23199999999999998,56.26
65,1/31/2023,POR-11041802,Arm chair,5.0,Assembly,100.0,2500.0,3700.0,PRODUCTION,SSO-12136516,25.0,37.0,500.0,740.0,20.0,6200.0
66,1/31/2023,POR-11041804,Round side table,4.0,machine,2.16,4.8,2.96,PRODUCTION,SSO-12136516,2.222222222222222,1.3703703703703702,1.2,0.74,0.54,7.76
67,1/31/2023,POR-11041804,Round side table,4.0,Veneer,5.0,125.0,185.0,PRODUCTION,SSO-12136516,25.0,37.0,31.25,46.25,1.25,310.0
68,1/31/2023,POR-11041804,Round side table,4.0,Assembly,20.0,500.0,740.0,PRODUCTION,SSO-12136516,25.0,37.0,125.0,185.0,5.0,1240.0
69,1/31/2023,POR-11041834,Dresser,1.0,Upholstery,10.0,230.01,289.99,PRODUCTION,SSO-12133564,23.000999999999998,28.999000000000002,230.01,289.99,10.0,520.0
71,1/31/2023,POR-11041869,Arm chair,2.0,Upholstery,28.0,644.03,811.97,PRODUCTION,SSO-12141932,23.00107142857143,28.99892857142857,322.015,405.985,14.0,1456.0
72,1/31/2023,POR-11041871,Dining Arm chair,10.0,Upholstery,100.0,2300.12,2899.88,PRODUCTION,SSO-12141932,23.001199999999997,28.998800000000003,230.012,289.988,10.0,5200.0
73,1/31/2023,POR-11041879,Rectangular Dining Table,1.0,machine,1.5,45.0,27.75,PRODUCTION,PROD-CARPENTRY-0001,30.0,18.5,45.0,27.75,1.5,72.75
74,1/31/2023,POR-11041879,Rectangular Dining Table,1.0,Veneer,6.0,150.0,222.0,PRODUCTION,PROD-CARPENTRY-0003,25.0,37.0,150.0,222.0,6.0,372.0
76,1/31/2023,POR-11041879,Rectangular Dining Table,1.0,Upholstery,12.0,276.01,347.99,PRODUCTION,PROD-UPHOLSTERY-0002,23.000833333333333,28.999166666666667,276.01,347.99,12.0,624.0
77,1/31/2023,POR-11041880,Buffet,1.0,machine,2.15,9.6,5.92,PRODUCTION,SSO-12142139,4.465116279069767,2.7534883720930234,9.6,5.92,2.15,15.52
78,1/31/2023,POR-11041880,Buffet,1.0,Veneer,7.0,175.0,259.0,PRODUCTION,SSO-12142139,25.0,37.0,175.0,259.0,7.0,434.0
80,1/31/2023,POR-11042438,Square Dining Table,1.0,machine,0.58,15.0,9.25,PRODUCTION,PROD-CARPENTRY-0001,25.862068965517242,15.948275862068966,15.0,9.25,0.58,24.25
81,1/31/2023,POR-11042438,Square Dining Table,1.0,Veneer,0.5,12.5,18.5,PRODUCTION,PROD-CARPENTRY-0003,25.0,37.0,12.5,18.5,0.5,31.0
83,1/31/2023,POR-11042442,Wall Decoration,11.26,Upholstery,10.0,230.01,289.99,PRODUCTION,SSO-12141928,23.000999999999998,28.999000000000002,20.427175843694492,25.753996447602134,0.8880994671403197,520.0
84,1/31/2023,POR-11042443,Bed,1.0,Upholstery,12.0,276.01,347.99,PRODUCTION,SSO-12141928,23.000833333333333,28.999166666666667,276.01,347.99,12.0,624.0
85,1/31/2023,POR-11042448,Banquette,1.0,Control&Packing,0.5,0.0,0.0,PRODUCTION,SSO-12141928,0.0,0.0,0.0,0.0,0.5,0.0
86,1/31/2023,POR-11042465,Rectangular Dining Table,1.0,machine,3.5,30.0,18.5,PRODUCTION,PROD-CARPENTRY-0001,8.571428571428571,5.285714285714286,30.0,18.5,3.5,48.5
87,1/31/2023,POR-11042465,Rectangular Dining Table,1.0,Veneer,10.0,250.0,370.0,PRODUCTION,PROD-CARPENTRY-0003,25.0,37.0,250.0,370.0,10.0,620.0
89,1/31/2023,POR-11042468,Dining Side Chair,20.0,Upholstery,180.0,4140.22,5219.78,PRODUCTION,SSO-12142605,23.001222222222225,28.998777777777775,207.01100000000002,260.989,9.0,9360.0
90,1/31/2023,POR-11042468,Dining Side Chair,20.0,machine,22.75,75.0,46.25,PRODUCTION,SSO-12142605,3.2967032967032965,2.032967032967033,3.75,2.3125,1.1375,121.25
91,1/31/2023,POR-11042468,Dining Side Chair,20.0,Assembly,140.0,3500.0,5180.0,PRODUCTION,SSO-12142605,25.0,37.0,175.0,259.0,7.0,8680.0
94,1/31/2023,POR-11042471,Arm chair,6.0,Upholstery,84.0,1932.1,2435.9,PRODUCTION,SSO-12141930,23.001190476190477,28.998809523809523,322.01666666666665,405.98333333333335,14.0,4368.0
95,1/31/2023,POR-11042476,Rectangular Dining Table,1.0,machine,3.24,34.8,21.46,PRODUCTION,SSO-12141930,10.740740740740739,6.6234567901234565,34.8,21.46,3.24,56.26
96,1/31/2023,POR-11042476,Rectangular Dining Table,1.0,Veneer,2.0,50.0,74.0,PRODUCTION,SSO-12141930,25.0,37.0,50.0,74.0,2.0,124.0
98,1/31/2023,POR-11042478,Dining Arm chair,12.0,machine,14.0,30.0,18.5,PRODUCTION,SSO-12141930,2.142857142857143,1.3214285714285714,2.5,1.5416666666666667,1.1666666666666667,48.5
99,1/31/2023,POR-11042478,Dining Arm chair,12.0,Assembly,84.0,2100.0,3108.0,PRODUCTION,SSO-12141930,25.0,37.0,175.0,259.0,7.0,5208.0
100,1/31/2023,POR-11042481,Sofa,2.0,machine,1.16,45.0,27.75,PRODUCTION,PROD-CARPENTRY-0001,38.793103448275865,23.92241379310345,22.5,13.875,0.58,72.75
101,1/31/2023,POR-11042481,Sofa,2.0,Assembly,50.0,1250.0,1850.0,PRODUCTION,PROD-CARPENTRY-0004,25.0,37.0,625.0,925.0,25.0,3100.0
102,1/31/2023,POR-11042482,Sofa,3.0,machine,1.83,79.8,49.21,PRODUCTION,SSO-12144630,43.60655737704918,26.89071038251366,26.599999999999998,16.403333333333332,0.61,129.01
103,1/31/2023,POR-11042482,Sofa,3.0,Assembly,75.0,1875.0,2775.0,PRODUCTION,SSO-12144630,25.0,37.0,625.0,925.0,25.0,4650.0
104,1/31/2023,POR-11042483,Arm chair,9.0,Upholstery,126.0,2898.15,3653.85,PRODUCTION,SSO-12144630,23.001190476190477,28.998809523809523,322.01666666666665,405.98333333333335,14.0,6552.0
105,1/31/2023,POR-11042483,Arm chair,9.0,machine,3.0,120.0,74.0,PRODUCTION,SSO-12144630,40.0,24.666666666666668,13.333333333333334,8.222222222222221,0.3333333333333333,194.0
106,1/31/2023,POR-11042483,Arm chair,9.0,Assembly,180.0,4500.0,6660.0,PRODUCTION,SSO-12144630,25.0,37.0,500.0,740.0,20.0,11160.0
107,1/31/2023,POR-11042492,Night stand,1.0,machine,14.08,15.0,9.25,PRODUCTION,SSO-12143074,1.0653409090909092,0.6569602272727273,15.0,9.25,14.08,24.25
108,1/31/2023,POR-11042492,Night stand,1.0,Veneer,10.0,250.0,370.0,PRODUCTION,SSO-12143074,25.0,37.0,250.0,370.0,10.0,620.0
110,1/31/2023,POR-11042493,Dresser,1.0,machine,1.57,4.8,2.96,PRODUCTION,SSO-12143074,3.057324840764331,1.8853503184713374,4.8,2.96,1.57,7.76
111,1/31/2023,POR-11042493,Dresser,1.0,Veneer,2.0,50.0,74.0,PRODUCTION,SSO-12143074,25.0,37.0,50.0,74.0,2.0,124.0
113,1/31/2023,POR-11042499,Arm chair,2.0,Painting,20.0,500.0,740.0,PRODUCTION,SSO-12142594,25.0,37.0,250.0,370.0,10.0,1240.0
114,1/31/2023,POR-11042504,Dining Arm chair,18.0,machine,21.0,45.0,27.75,PRODUCTION,SSO-12142594,2.142857142857143,1.3214285714285714,2.5,1.5416666666666667,1.1666666666666667,72.75
115,1/31/2023,POR-11042504,Dining Arm chair,18.0,Assembly,126.0,3150.0,4662.0,PRODUCTION,SSO-12142594,25.0,37.0,175.0,259.0,7.0,7812.0
116,1/31/2023,POR-11042504,Dining Arm chair,18.0,Upholstery,180.0,4140.22,5219.78,PRODUCTION,SSO-12142594,23.001222222222225,28.998777777777775,230.01222222222225,289.98777777777775,10.0,9360.0
117,1/31/2023,POR-11042505,Buffet,1.0,machine,3.15,9.6,5.92,PRODUCTION,SSO-12142594,3.0476190476190474,1.8793650793650793,9.6,5.92,3.15,15.52
118,1/31/2023,POR-11042505,Buffet,1.0,Veneer,7.0,175.0,259.0,PRODUCTION,SSO-12142594,25.0,37.0,175.0,259.0,7.0,434.0
120,1/31/2023,POR-11042506,Square Center Table,1.0,machine,1.5,26.5,18.5,PRODUCTION,SSO-12142594,17.666666666666668,12.333333333333334,26.5,18.5,1.5,45.0
121,1/31/2023,POR-11042506,Square Center Table,1.0,Veneer,5.0,125.0,185.0,PRODUCTION,SSO-12142594,25.0,37.0,125.0,185.0,5.0,310.0
123,1/31/2023,POR-11042507,Square Side Table,3.0,machine,1.75,13.25,9.25,PRODUCTION,SSO-12142594,7.571428571428571,5.285714285714286,4.416666666666667,3.0833333333333335,0.5833333333333334,22.5
124,1/31/2023,POR-11042507,Square Side Table,3.0,Veneer,3.0,75.0,111.0,PRODUCTION,SSO-12142594,25.0,37.0,25.0,37.0,1.0,186.0
125,1/31/2023,POR-11042507,Square Side Table,3.0,Assembly,45.0,1125.0,1665.0,PRODUCTION,SSO-12142594,25.0,37.0,375.0,555.0,15.0,2790.0
126,1/31/2023,POR-11042509,Console,1.0,machine,1.33,17.49,12.21,PRODUCTION,SSO-12142594,13.150375939849622,9.180451127819548,17.49,12.21,1.33,29.7
127,1/31/2023,POR-11042509,Console,1.0,Veneer,3.0,75.0,111.0,PRODUCTION,SSO-12142594,25.0,37.0,75.0,111.0,3.0,186.0
128,1/31/2023,POR-11042509,Console,1.0,Assembly,25.0,625.0,925.0,PRODUCTION,SSO-12142594,25.0,37.0,625.0,925.0,25.0,1550.0
129,1/31/2023,POR-11042512,TV unit,1.0,machine,0.99,9.6,5.92,PRODUCTION,SSO-12142594,9.696969696969697,5.97979797979798,9.6,5.92,0.99,15.52
130,1/31/2023,POR-11042512,TV unit,1.0,Veneer,3.0,75.0,111.0,PRODUCTION,SSO-12142594,25.0,37.0,75.0,111.0,3.0,186.0
131,1/31/2023,POR-11042512,TV unit,1.0,Assembly,25.0,625.0,925.0,PRODUCTION,SSO-12142594,25.0,37.0,625.0,925.0,25.0,1550.0
132,1/31/2023,POR-11042515,Arm chair,2.0,Upholstery,28.0,644.03,811.97,PRODUCTION,PROD-UPHOLSTERY-0002,23.00107142857143,28.99892857142857,322.015,405.985,14.0,1456.0
133,1/31/2023,POR-11042535,Square Center Table,1.0,machine,1.74,21.73,15.17,PRODUCTION,SSO-12141205,12.488505747126437,8.718390804597702,21.73,15.17,1.74,36.9
134,1/31/2023,POR-11042535,Square Center Table,1.0,Veneer,5.0,125.0,185.0,PRODUCTION,SSO-12141205,25.0,37.0,125.0,185.0,5.0,310.0
136,1/31/2023,POR-11042536,Square Side Table,2.0,machine,1.16,8.48,5.92,PRODUCTION,SSO-12141205,7.310344827586208,5.103448275862069,4.24,2.96,0.58,14.4
137,1/31/2023,POR-11042536,Square Side Table,2.0,Veneer,2.0,50.0,74.0,PRODUCTION,SSO-12141205,25.0,37.0,25.0,37.0,1.0,124.0
138,1/31/2023,POR-11042536,Square Side Table,2.0,Assembly,30.0,750.0,1110.0,PRODUCTION,SSO-12141205,25.0,37.0,375.0,555.0,15.0,1860.0
139,1/31/2023,POR-11042538,Dining Arm chair,12.0,machine,14.0,30.0,18.5,PRODUCTION,SSO-12141205,2.142857142857143,1.3214285714285714,2.5,1.5416666666666667,1.1666666666666667,48.5
140,1/31/2023,POR-11042538,Dining Arm chair,12.0,Assembly,84.0,2100.0,3108.0,PRODUCTION,SSO-12141205,25.0,37.0,175.0,259.0,7.0,5208.0
141,1/31/2023,POR-11042539,Buffet,1.0,Upholstery,12.0,276.01,347.99,PRODUCTION,SSO-12141205,23.000833333333333,28.999166666666667,276.01,347.99,12.0,624.0
142,1/31/2023,POR-11042539,Buffet,1.0,machine,2.33,26.5,18.5,PRODUCTION,SSO-12141205,11.373390557939913,7.939914163090129,26.5,18.5,2.33,45.0
143,1/31/2023,POR-11042539,Buffet,1.0,Veneer,10.0,250.0,370.0,PRODUCTION,SSO-12141205,25.0,37.0,250.0,370.0,10.0,620.0
145,1/31/2023,POR-11042540,Console,1.0,machine,1.49,17.49,12.21,PRODUCTION,SSO-12141205,11.738255033557046,8.194630872483222,17.49,12.21,1.49,29.7
146,1/31/2023,POR-11042540,Console,1.0,Veneer,3.0,75.0,111.0,PRODUCTION,SSO-12141205,25.0,37.0,75.0,111.0,3.0,186.0
147,1/31/2023,POR-11042540,Console,1.0,Assembly,25.0,625.0,925.0,PRODUCTION,SSO-12141205,25.0,37.0,625.0,925.0,25.0,1550.0
148,1/31/2023,POR-11042587,Curtains,1.0,machine,0.08,4.24,2.96,CURTAINS,SSO-12107988,53.0,37.0,4.24,2.96,0.08,7.2
149,1/31/2023,POR-11042587,Curtains,1.0,Assembly,5.0,125.0,185.0,CURTAINS,SSO-12107988,25.0,37.0,125.0,185.0,5.0,310.0
150,1/31/2023,POR-11042623,Sofa,3.5,Upholstery,55.0,1265.07,1594.93,PRODUCTION,PROD-UPHOLSTERY-0002,23.001272727272728,28.998727272727272,361.4485714285714,455.69428571428574,15.714285714285714,2860.0
152,1/31/2023,POR-11042629,Dining Arm chair,14.0,machine,3.16,69.6,42.92,PRODUCTION,PROD-CARPENTRY-0001,22.0253164556962,13.582278481012658,4.971428571428571,3.065714285714286,0.22571428571428573,112.52
153,1/31/2023,POR-11042629,Dining Arm chair,14.0,Assembly,140.0,3500.0,5180.0,PRODUCTION,PROD-CARPENTRY-0004,25.0,37.0,250.0,370.0,10.0,8680.0
154,1/31/2023,POR-11042630,Buffet,2.0,machine,6.99,9.6,5.92,PRODUCTION,PROD-CARPENTRY-0001,1.3733905579399142,0.8469241773962803,4.8,2.96,3.495,15.52
155,1/31/2023,POR-11042630,Buffet,2.0,Veneer,14.0,350.0,518.0,PRODUCTION,PROD-CARPENTRY-0003,25.0,37.0,175.0,259.0,7.0,868.0
158,1/31/2023,POR-11042632,Arm chair,2.0,Upholstery,32.0,644.03,811.97,PRODUCTION,SSO-12142354,20.1259375,25.3740625,322.015,405.985,16.0,1456.0
159,1/31/2023,POR-11042634,Rectangular Center Table,8.0,Control&Packing,1.0,0.0,0.0,PRODUCTION,SSO-12142354,0.0,0.0,0.0,0.0,0.125,0.0
160,1/31/2023,POR-11042635,Square Side Table,7.0,Control&Packing,1.0,0.0,0.0,PRODUCTION,SSO-12142354,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
161,1/31/2023,POR-11042715,Sofa,4.5,machine,1.5,90.0,55.5,PRODUCTION,SSO-12144227,60.0,37.0,20.0,12.333333333333334,0.3333333333333333,145.5
162,1/31/2023,POR-11042715,Sofa,4.5,Assembly,50.0,1250.0,1850.0,PRODUCTION,SSO-12144227,25.0,37.0,277.77777777777777,411.1111111111111,11.11111111111111,3100.0
163,1/31/2023,POR-11042716,Sofa,1.0,machine,1.5,90.0,55.5,PRODUCTION,SSO-12144227,60.0,37.0,90.0,55.5,1.5,145.5
165,1/31/2023,POR-11042717,Round side table,4.0,Upholstery,6.0,46.0,58.0,PRODUCTION,SSO-12144227,7.666666666666667,9.666666666666666,11.5,14.5,1.5,104.0
166,1/31/2023,POR-11042718,Square Center Table,4.0,Upholstery,2.0,46.0,58.0,PRODUCTION,SSO-12144227,23.0,29.0,11.5,14.5,0.5,104.0
168,1/31/2023,POR-11042723,Sofa,3.0,Control&Packing,1.0,0.0,0.0,PRODUCTION,MAN-CTLPAC-0001,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
170,1/31/2023,POR-11042724,Sofa,3.0,Control&Packing,1.0,0.0,0.0,PRODUCTION,SSO-12143613,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
173,1/31/2023,POR-11042727,Console,1.0,machine,1.66,15.0,9.25,PRODUCTION,SSO-12143613,9.036144578313253,5.572289156626506,15.0,9.25,1.66,24.25
174,1/31/2023,POR-11042727,Console,1.0,Veneer,1.0,25.0,37.0,PRODUCTION,SSO-12143613,25.0,37.0,25.0,37.0,1.0,62.0
175,1/31/2023,POR-11042730,Round side table,1.0,machine,1.33,15.0,9.25,PRODUCTION,SSO-12142733,11.278195488721805,6.954887218045112,15.0,9.25,1.33,24.25
176,1/31/2023,POR-11042730,Round side table,1.0,Assembly,15.0,375.0,555.0,PRODUCTION,SSO-12142733,25.0,37.0,375.0,555.0,15.0,930.0
177,1/31/2023,POR-11042735,Square Side Table,2.0,machine,4.32,9.6,5.92,PRODUCTION,SSO-12144532,2.222222222222222,1.3703703703703702,4.8,2.96,2.16,15.52
178,1/31/2023,POR-11042735,Square Side Table,2.0,Veneer,6.0,150.0,222.0,PRODUCTION,SSO-12144532,25.0,37.0,75.0,111.0,3.0,372.0
179,1/31/2023,POR-11042735,Square Side Table,2.0,Assembly,24.0,600.0,888.0,PRODUCTION,SSO-12144532,25.0,37.0,300.0,444.0,12.0,1488.0
180,1/31/2023,POR-11042739,Round Side Table,1.0,machine,0.16,8.96,5.92,PRODUCTION,SSO-12145411,56.00000000000001,37.0,8.96,5.92,0.16,14.88
181,1/31/2023,POR-11042739,Round Side Table,1.0,Assembly,1.0,25.0,37.0,PRODUCTION,SSO-12145411,25.0,37.0,25.0,37.0,1.0,62.0
182,1/31/2023,POR-11042743,Dining Side Chair,8.0,machine,1.08,60.0,37.0,PRODUCTION,PROD-CARPENTRY-0001,55.55555555555555,34.25925925925926,7.5,4.625,0.135,97.0
183,1/31/2023,POR-11042743,Dining Side Chair,8.0,Assembly,64.0,1600.0,2368.0,PRODUCTION,PROD-CARPENTRY-0004,25.0,37.0,200.0,296.0,8.0,3968.0
